                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.81964,                0.77151,                 1.3073,                0.88068,                0.85722,                0.87933,                0.76485,                 0.5927,                0.84134,                 1.3627,                0.00769,                0.00769,                0.00769
                     38,                0.81436,                0.76574,                  1.301,                0.87794,                0.85746,                 0.8742,                0.76097,                 0.5893,                0.83709,                 1.3686,               0.007624,               0.007624,               0.007624
                     39,                0.81279,                0.75387,                 1.2977,                0.87232,                0.86292,                0.87441,                 0.7648,                0.59149,                0.86206,                 1.3579,               0.007558,               0.007558,               0.007558
                     40,                0.80603,                0.75769,                 1.2942,                 0.8514,                0.87426,                0.87183,                0.75928,                0.59015,                0.85849,                  1.361,               0.007492,               0.007492,               0.007492
                     41,                0.80174,                0.75726,                 1.2958,                0.87392,                0.86134,                 0.8743,                0.76754,                0.58773,                 0.8485,                 1.3698,               0.007426,               0.007426,               0.007426
                     42,                0.79959,                0.75797,                 1.2974,                0.87674,                0.85949,                0.86955,                0.76201,                0.58667,                 0.8606,                 1.3696,                0.00736,                0.00736,                0.00736
                     43,                0.79711,                0.74395,                 1.2893,                0.87752,                0.86292,                0.86923,                0.76185,                0.58213,                0.84868,                 1.3619,               0.007294,               0.007294,               0.007294
                     44,                0.79642,                0.74921,                   1.29,                0.86973,                0.86349,                0.87158,                0.76389,                0.58304,                0.84736,                 1.3523,               0.007228,               0.007228,               0.007228
                     45,                0.79448,                 0.7573,                 1.2958,                 0.8585,                 0.8707,                0.86996,                0.76372,                0.58324,                0.84119,                 1.3544,               0.007162,               0.007162,               0.007162
                     46,                0.78894,                 0.7477,                 1.2912,                0.86461,                0.86867,                0.87059,                0.76491,                0.58291,                0.83921,                 1.3512,               0.007096,               0.007096,               0.007096
                     47,                0.77956,                0.73851,                 1.2845,                0.86102,                 0.8624,                0.86759,                0.75993,                0.58072,                0.83974,                 1.3607,                0.00703,                0.00703,                0.00703
